Question,Answer,class
I can't open in my apps,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
How to reset my password,Please contact the Tech Support team at techsupport-services@sumasoft.net,Tech support enquire
,,
,,
"How do you download our Suma soft payment slip? Is there any link for it? If there is, please share",Please contact the HR team at ithr@sumasoft.net,Employee Enquire
"Wanted to connect someone urgently regarding my Background verification, My current company is continusly sending email for the verification but there is no any responses received form chetna kumari on Background verification",Please contact the HR team at ithr@sumasoft.net,Employee Enquire
"Already done it, but I am not getting any response ",Can you please send again  mail to HR team at ithr@sumasoft.net,Employee Enquire
I was working with suma soft from (Date) to (Date) .and later i resigned and i have not recieve experience letter,Please contact the HR team at ithr@sumasoft.net,Employee Enquire
can you please tell me know when i recevied experience letter,"I'm not able to provide that information, I apologize for the inconvenience.Please contact the HR team at ithr@sumasoft.net",Employee Enquire
"I am an Ex Employee of your Company/Organization,please process and provide my Salary Slip as soon as possible having (Employee ID)",Please contact the HR team at ithr@sumasoft.net,Employee Enquire
"i am your ex employee i have to transfer my pf ,please give me HR contact email id",Please contact the HR team at ithr@sumasoft.net,Employee Enquire
Not showing salary slip offer letter,Please contact the HR team at ithr@sumasoft.net,Employee Enquire
(Months) complete my joining but not provided offers letter and. Salary slip,Please contact the HR team at ithr@sumasoft.net,Employee Enquire
,,
pricing for (Keyword),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
(Keyword) related questions,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"I want to know about the companies background from the base itself, can you please help me in this?","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Any ETA?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Need quote for (Keyword),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
quote for STQC,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire
any quotes for {keyword},"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire
We are looking for the best VAPT & Load testing for our in-house application development. So request you to kindly share the quotation and procedure.,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
We are looking for the best (Keyword) for our in-house (Keyword).,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
URL for (Keyword ) (URL),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Please let me know cost for the same,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Quotation regarding(Keyword) of (Keyword),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"Hi, we are looking for (Keyword) provider. If you can help us then we can schedule a call for the same. Looking forward to your reply.","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
can please connect with the person whom i can discus the (Keyword),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
I prefer contact through email only,"Okay , One of our experts will reach out to you soon for more information.",service line Enquire 
"Hey, I would like to know your pricing!","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Can I have a brochure of your (Keyword),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Can you provide brochure of your (Keyword) now ?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"we need to test different (Keyword)  like (Devices) , are you doing this type of activity?","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
I am looking to do (Keyword) for my website ,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"need to build a job portal similar to (portal) Can you please share the features list & detailed proposal to my mail, post that we can connect on Gmeet?","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
I am looking for (Keyword),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Can you tell me the price for (Keyword)?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
What certifications do your team members have for (Keyword),"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"Tell me a bit about your company's background. How experienced are you in software development, (Keyword), and (Keyword)?","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"We're interested in a security audit. How much does it cost, and what's the process like?","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
We need VAPT and Load Testing for our in-house apps. Can you give us a quote and explain how it works?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
What's the price for testing the functions and non-functions of .....,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"Can we schedule a call to discuss VAPT, UAT, and Load Testing?","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Could you give me an overview of your pricing?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Can I get a brochure on your Support and Development Services?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Do you test mobile apps?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
I need VAPT for my website ...... Can you help?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
How do we start with software development?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
What support levels do you offer for technical issues?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
How can we get more information about your BPO services?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
"My client is a Govt agency based out of RIshikesh, India. We are looking to get Cert In certification for the application we are deploying 05 Apr, 2022, 12:51 PM","Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Your agency is certified to give CERT IN certification right?,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
Query regarding (Keyword) of our website,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
We have our new website designed by us inhouse using wordpress. Can you help us for  (Keyword,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
When your team will contact me,"Please share your full name, company email id and phone number.(Example: Name:John,Email-id:john@gmail.com,MobileNumber:9922768990)",service line Enquire 
